,doc,word,freq
838,11,40,2
839,11,43,1
840,11,44,1
841,11,45,6
842,11,46,1
843,11,8,1
844,11,51,1
845,11,54,1
846,11,9,1
847,11,68,1
848,11,15,1
849,11,72,2
850,11,73,1
851,11,74,2
852,11,55,1
853,11,76,4
854,11,77,1
855,11,78,1
856,11,79,1
857,11,82,1
858,11,83,1
859,11,85,1
860,11,89,2
861,11,90,1
862,11,91,4
863,11,92,1
864,11,94,2
865,11,98,1
866,11,101,3
867,11,102,1
868,11,103,2
869,11,105,3
870,11,111,1
871,11,112,1
872,11,114,1
873,11,115,4
874,11,116,2
875,11,119,1
876,11,121,1
877,11,122,1
878,11,125,1
879,11,127,2
880,12,128,2
881,12,129,1
882,12,2,1
883,12,131,1
884,12,132,3
885,12,6,2
886,12,136,1
887,12,9,4
888,12,11,2
889,12,13,3
890,12,15,1
891,12,16,1
892,12,17,4
893,12,18,3
894,12,19,4
895,12,23,1
896,12,26,1
897,12,31,1
898,12,34,2
899,12,35,1
900,12,36,1
901,12,37,4
902,12,39,1
903,12,40,3
904,12,42,1
905,12,45,7
906,12,49,1
907,12,53,2
908,12,137,4
909,12,57,1
910,12,61,1
911,12,63,1
912,12,65,1
913,12,66,1
914,12,67,5
915,12,70,1
916,12,97,1
917,12,72,2
918,12,73,2
919,12,74,3
920,12,76,2
921,12,77,2
922,12,79,2
923,12,80,2
924,12,81,2
925,12,82,1
926,12,83,3
927,12,87,1
928,12,89,1
929,12,90,4
930,12,91,2
931,12,92,2
932,12,94,5
933,12,144,1
934,12,98,2
935,12,99,2
936,12,100,2
937,12,101,2
938,12,102,1
939,12,104,1
940,12,105,3
941,12,107,4
942,12,108,1
943,12,111,1
944,12,112,2
945,12,113,1
946,12,115,1
947,12,117,3
948,12,119,2
949,12,121,2
950,12,127,3
951,13,128,2
952,13,1,1
953,13,130,2
954,13,131,1
955,13,132,1
956,13,134,1
957,13,135,2
958,13,136,1
959,13,9,5
960,13,138,1
961,13,11,1
962,13,140,5
963,13,13,1
964,13,15,1
965,13,18,1
966,13,19,4
967,13,27,2
968,13,28,1
969,13,33,1
970,13,34,1
971,13,36,1
972,13,37,1
973,13,41,2
974,13,45,1
975,13,47,1
976,13,49,1
977,13,51,1
978,13,53,1
979,13,55,2
980,13,57,2
981,13,59,5
982,13,60,1
983,13,69,2
984,13,72,1
985,13,77,1
986,13,79,1
987,13,80,1
988,13,81,1
989,13,85,1
990,13,88,1
991,13,89,1
992,13,90,3
993,13,91,1
994,13,95,2
995,13,103,2
996,13,104,1
997,13,105,3
998,13,106,2
999,13,107,5
1000,13,108,3
1001,13,109,3
1002,13,113,1
1003,13,115,1
1004,13,116,1
1005,13,117,1
1006,13,121,1
1007,13,126,2
1008,13,127,2
1009,14,3,2
1010,14,5,6
1011,14,6,2
1012,14,8,1
1013,14,9,4
1014,14,11,4
1015,14,14,2
1016,14,15,1
1017,14,16,1
1018,14,18,3
1019,14,19,2
1020,14,22,2
1021,14,23,1
1022,14,28,2
1023,14,31,1
1024,14,32,2
1025,14,33,3
1026,14,35,1
1027,14,37,2
1028,14,38,2
1029,14,40,1
1030,14,41,1
1031,14,42,1
1032,14,45,6
1033,14,46,4
1034,14,47,4
1035,14,56,1
1036,14,58,2
1037,14,59,1
1038,14,61,1
1039,14,62,1
1040,14,66,2
1041,14,69,1
1042,14,70,2
1043,14,71,1
1044,14,73,2
1045,14,74,1
1046,14,75,1
1047,14,76,2
1048,14,77,1
1049,14,78,2
